hsib1 hsib2 Probability
L1174 L0326 0.167
L1174 L0348 0.749
L1174 L1619 0.989
L1174 L0454 0.858
L1174 L1722 0.979
L1173 L0294 0.994
L1173 L1103 0.527
L1171 L1115 0.953
L1171 L1319 0.999
L1171 L0412 0.842
L1171 L0673 0.987
L1171 L0686 0.991
L1623 L1640 0.882
L1623 L1314 0.934
L1623 L0656 0.996
L1623 L1075 0.215
L1623 L0359 0.722
L1661 L0461 0.992
L1661 L1658 0.003
L1620 L0695 0.996
L1620 L1267 0.992
L1620 L0456 0.896
L1160 L0692 0.002
L1160 L0287 0.049
L1118 L1609 0.058
L1118 L0852 0.996
L1118 L0641 0.951
L1118 L0257 0.070
L1118 L1107 0.978
L1118 L0445 0.947
L1115 L1082 0.987
L1115 L0429 0.993
L1115 L0292 0.010
L1115 L0673 0.998
L1115 L0686 0.731
L1110 L0832 0.052
L1110 L0470 0.992
L1110 L1268 0.989
L1262 L1083 0.901
L1262 L1055 0.997
L1262 L1595 0.003
L1262 L0666 0.873
L0435 L0460 0.988
L0832 L0888 0.988
L0832 L1268 0.052
L1094 L0840 0.024
L1090 L0981 0.979
L1090 L2496 0.991
L1090 L0307 0.724
L1090 L1658 0.003
L1090 L1615 0.558
L1090 L1225 0.968
L1087 L1250 0.958
L1087 L2238 0.353
L1087 L1099 0.983
L1087 L1178 0.987
L2440 L1269 0.752
L2440 L0346 0.997
L1084 L0325 0.640
L1084 L1641 0.995
L1084 L2239 0.930
L0430 L0869 0.002
L0430 L0397 0.994
L0430 L1619 0.002
L0430 L1601 0.502
L0430 L0367 0.002
L1082 L0429 0.929
L1082 L0852 0.996
L1082 L0292 0.163
L1082 L1178 0.993
L0429 L0292 0.079
L0429 L0432 0.095
L0429 L1214 0.974
L1076 L0688 0.996
L1076 L0882 0.893
L1076 L0654 0.941
L1657 L0296 1.000
L1657 L1113 0.217
L1657 L0459 0.953
L1657 L1628 0.971
L0426 L0411 0.993
L0426 L2491 0.807
L0426 L1604 0.040
L1654 L0273 0.989
L1654 L1114 0.900
L1654 L0433 0.019
L1654 L0977 0.995
L1654 L1212 0.012
L1611 L2395 0.960
L1611 L0276 0.954
L1611 L0456 0.992
L1611 L0379 0.993
L1257 L1696 0.080
L1257 L0326 0.570
L1257 L0348 0.994
L1257 L0454 0.977
L1257 L1722 0.235
L1257 L2442 0.929
L1609 L0694 0.995
L1609 L0641 0.908
L1609 L1107 0.989
L1609 L1214 0.999
L1609 L0445 0.127
L1609 L1722 0.969
L1606 L0457 0.980
L1603 L1629 0.693
L1687 L0651 0.992
L1687 L1078 0.112
L0411 L2491 0.648
L0411 L0419 0.999
L0411 L0672 0.951
L1640 L1010 0.615
L1640 L1314 0.996
L1640 L0359 0.971
L1591 L1210 0.976
L1591 L0294 0.998
L1591 L1215 0.778
L1591 L0428 0.994
L1591 L0341 0.959
L1591 L0335 0.917
L0662 L0847 0.973
L0662 L2527 0.969
